date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2020-07-16,20:30,Premier League,Matchweek 29,Thu,Away,L,1,2,Loko Moscow,53,,Igor Akinfeev,3-4-3,4-2-3-1,Evgeny Turbin,Match Report,,16,2,,0,0,2019,CSKA Moscow,,
2020-07-22,19:00,Premier League,Matchweek 30,Wed,Home,W,2,0,Tambov,54,2899.0,Igor Akinfeev,3-4-3,3-4-3,Kirill Levnikov,Match Report,,17,4,,0,0,2019,CSKA Moscow,,
2019-07-13,21:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Orenburg,55,14584.0,Ragnar Sigurðsson,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,12,4,,0,0,2019,Rostov,,
2019-07-20,21:30,Premier League,Matchweek 2,Sat,Home,D,2,2,Spartak Moscow,48,35865.0,Ragnar Sigurðsson,4-2-3-1,4-2-3-1,Kirill Levnikov,Match Report,,18,7,,0,0,2019,Rostov,,
2019-07-28,16:30,Premier League,Matchweek 3,Sun,Away,W,3,2,Arsenal Tula,50,9654.0,Ragnar Sigurðsson,4-2-3-1,4-2-3-1,Aleksey Matyunin,Match Report,,15,8,,0,0,2019,Rostov,,
2019-08-03,16:00 (14:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Ural,60,35061.0,Ragnar Sigurðsson,4-2-3-1,4-2-3-1,Stanislav Vasilyev,Match Report,,21,7,,0,0,2019,Rostov,,
2019-08-12,20:00,Premier League,Matchweek 5,Mon,Home,W,1,0,Samara,53,28674.0,Ragnar Sigurðsson,4-2-3-1,4-2-3-1,Vasiliy Kazartsev,Match Report,,16,4,,0,0,2019,Rostov,,
2019-08-18,16:30,Premier League,Matchweek 6,Sun,Away,L,0,2,Ufa,55,8532.0,Ragnar Sigurðsson,4-2-3-1,5-4-1,Evgeny Turbin,Match Report,,15,3,,0,0,2019,Rostov,,
2019-08-25,19:00,Premier League,Matchweek 7,Sun,Home,W,2,1,Rubin Kazan,54,35031.0,Ragnar Sigurðsson,4-2-3-1,4-1-4-1,Vitaly Meshkov,Match Report,,31,10,,0,0,2019,Rostov,,
2019-08-31,16:30,Premier League,Matchweek 8,Sat,Away,W,2,1,Loko Moscow,43,19356.0,Ragnar Sigurðsson,4-2-3-1,4-2-3-1,Sergey Lapochkin,Match Report,,14,4,,0,0,2019,Rostov,,
2019-09-16,20:30,Premier League,Matchweek 9,Mon,Home,W,2,1,Akhmat Grozny,52,28772.0,Ragnar Sigurðsson,4-3-3,4-2-3-1,Nikolay Voloshin,Match Report,,21,9,,0,0,2019,Rostov,,
2019-09-21,19:00,Premier League,Matchweek 10,Sat,Away,L,1,2,Tambov,66,3258.0,Ragnar Sigurðsson,4-2-3-1,5-3-2,Vasiliy Kazartsev,Match Report,,20,5,,0,0,2019,Rostov,,
2019-09-28,16:30,Premier League,Matchweek 11,Sat,Home,W,3,0,Dynamo Mosc,49,29990.0,Ragnar Sigurðsson,4-2-3-1,4-4-1-1,Evgeny Turbin,Match Report,,15,6,,0,0,2019,Rostov,,
2019-10-06,16:30,Premier League,Matchweek 12,Sun,Away,W,3,1,CSKA Moscow,28,18456.0,Ivelin Popov,4-2-3-1,3-1-4-2,Vasiliy Kazartsev,Match Report,,11,7,,0,0,2019,Rostov,,
2019-10-19,19:00,Premier League,Matchweek 13,Sat,Away,L,1,6,Zenit,41,58639.0,Ivelin Popov,4-2-3-1,4-4-2,Sergey Karasev,Match Report,,11,4,,1,1,2019,Rostov,,
2019-10-26,19:00,Premier League,Matchweek 14,Sat,Home,W,2,0,Sochi,57,33716.0,Ivelin Popov,4-3-3,4-1-4-1,Evgeny Turbin,Match Report,,22,9,,0,0,2019,Rostov,,
2019-11-03,16:30,Premier League,Matchweek 15,Sun,Away,D,2,2,Krasnodar,34,34265.0,Ivelin Popov,4-3-3,4-3-3,Aleksey Eskov,Match Report,,5,3,,0,0,2019,Rostov,,
2019-11-09,16:30,Premier League,Matchweek 16,Sat,Home,L,1,2,Tambov,54,25589.0,Ragnar Sigurðsson,4-3-3,5-4-1,Sergey Karasev,Match Report,,18,4,,0,0,2019,Rostov,,
2019-11-23,16:30,Premier League,Matchweek 17,Sat,Away,L,1,2,Dynamo Mosc,47,11569.0,Ivelin Popov,4-3-3,4-4-1-1,Vasiliy Kazartsev,Match Report,,14,5,,0,1,2019,Rostov,,
2019-11-30,16:30,Premier League,Matchweek 18,Sat,Home,D,0,0,Ural,60,11309.0,Ivelin Popov,4-3-3,4-2-3-1,Aleksey Sukhoy,Match Report,,14,1,,0,0,2019,Rostov,,
2019-12-08,19:00,Premier League,Matchweek 19,Sun,Away,W,4,1,Spartak Moscow,39,22132.0,Ivelin Popov,4-2-3-1,4-2-3-1,Evgeny Turbin,Match Report,,15,6,,0,1,2019,Rostov,,
2020-02-29,19:00,Premier League,Matchweek 20,Sat,Away,D,1,1,Akhmat Grozny,59,12681.0,Ivelin Popov,4-2-3-1,4-2-3-1,Sergey Lapochkin,Match Report,,14,5,,0,0,2019,Rostov,,
2020-03-09,14:00,Premier League,Matchweek 21,Mon,Home,W,3,2,CSKA Moscow,63,40432.0,Ivelin Popov,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,28,11,,1,2,2019,Rostov,,
2020-03-15,19:00,Premier League,Matchweek 22,Sun,Home,L,1,3,Loko Moscow,54,30127.0,Ivelin Popov,4-2-3-1,4-2-3-1,Mikhail Vilkov,Match Report,,19,8,,1,1,2019,Rostov,,
2020-06-19,21:00 (20:00),Premier League,Matchweek 23,Fri,Away,L,1,10,Sochi,39,2807.0,Nikita Kupriyanov,4-3-3,3-4-3,Aleksey Sukhoy,Match Report,,2,1,,0,0,2019,Rostov,,
2020-06-27,20:00,Premier League,Matchweek 24,Sat,Home,W,2,1,Arsenal Tula,43,4505.0,Aleksei Ionov,4-2-3-1,4-2-3-1,Vladimir Moskalev,Match Report,,10,4,,0,0,2019,Rostov,,
2020-07-01,20:00,Premier League,Matchweek 25,Wed,Home,D,1,1,Krasnodar,43,,Aleksei Ionov,4-3-3,4-2-3-1,Vitaly Meshkov,Match Report,,8,3,,1,1,2019,Rostov,,
2020-07-04,19:30 (18:30),Premier League,Matchweek 26,Sat,Away,D,0,0,Samara,61,,Ivelin Popov,4-3-3,4-2-3-1,Nikolay Voloshin,Match Report,,14,2,,0,0,2019,Rostov,,
2020-07-08,20:30,Premier League,Matchweek 27,Wed,Home,L,1,2,Ufa,58,4541.0,Ivelin Popov,4-3-3,5-3-2,Aleksey Eskov,Match Report,,17,5,,0,0,2019,Rostov,,
2020-07-12,20:30 (18:30),Premier League,Matchweek 28,Sun,Away,D,0,0,Orenburg,69,,Aleksei Ionov,4-5-1,5-4-1,Igor Panin,Match Report,,14,3,,0,0,2019,Rostov,,
2020-07-16,18:00,Premier League,Matchweek 29,Thu,Away,D,0,0,Rubin Kazan,55,4202.0,Ivelin Popov,4-2-3-1,4-2-3-1,Vasiliy Kazartsev,Match Report,,11,3,,0,0,2019,Rostov,,
2020-07-22,19:00,Premier League,Matchweek 30,Wed,Home,L,1,2,Zenit,34,4541.0,Aleksei Kozlov,4-5-1,3-4-3,Sergey Karasev,Match Report,,13,2,,0,0,2019,Rostov,,
2019-07-12,20:00,Premier League,Matchweek 1,Fri,Away,D,1,1,Arsenal Tula,47.0,14742.0,Anton Shunin,4-2-3-1,4-3-3,Sergey Lapochkin,Match Report,,15,6,,0,0,2019,Dynamo Moscow,,
2019-07-21,19:00,Premier League,Matchweek 2,Sun,Home,L,0,1,Rubin Kazan,53.0,17315.0,Anton Shunin,4-2-3-1,4-1-4-1,Vitaly Meshkov,Match Report,,25,6,,0,0,2019,Dynamo Moscow,,
2019-07-26,20:00,Premier League,Matchweek 3,Fri,Home,W,2,0,Ural,48.0,12349.0,Anton Shunin,4-2-3-1,4-2-3-1,Pavel Kukuyan,Match Report,,18,7,,0,0,2019,Dynamo Moscow,,
2019-08-03,19:00,Premier League,Matchweek 4,Sat,Away,D,0,0,Spartak Moscow,67.0,34389.0,Anton Shunin,4-2-3-1,4-2-3-1,Vladislav Bezborodov,Match Report,,25,5,,0,0,2019,Dynamo Moscow,,
2019-08-10,19:00,Premier League,Matchweek 5,Sat,Home,L,0,2,Zenit,49.0,19095.0,Anton Shunin,4-2-3-1,4-4-2,Evgeny Turbin,Match Report,,14,4,,0,0,2019,Dynamo Moscow,,
2019-08-18,19:00,Premier League,Matchweek 6,Sun,Home,L,1,2,Loko Moscow,49.0,17837.0,Vladimir Rykov,4-4-2,4-2-3-1,Vasiliy Kazartsev,Match Report,,12,6,,0,0,2019,Dynamo Moscow,,
2019-08-24,14:00,Premier League,Matchweek 7,Sat,Away,W,2,0,Tambov,47.0,4816.0,Toni Šunjić,4-4-2,3-4-3,Igor Panin,Match Report,,14,4,,0,0,2019,Dynamo Moscow,,
2019-08-30,20:00,Premier League,Matchweek 8,Fri,Away,D,0,0,Samara,50.0,14728.0,Toni Šunjić,4-1-4-1,4-2-3-1,Vladislav Bezborodov,Match Report,,14,5,,0,0,2019,Dynamo Moscow,,
2019-09-16,20:00,Premier League,Matchweek 9,Mon,Home,D,0,0,Ufa,71.0,9538.0,Vladimir Rykov,4-2-3-1,5-4-1,Vitaly Meshkov,Match Report,,23,7,,0,0,2019,Dynamo Moscow,,
2019-09-22,14:00,Premier League,Matchweek 10,Sun,Home,L,2,3,Sochi,61.0,10119.0,Toni Šunjić,4-4-2,4-3-3,Sergey Lapochkin,Match Report,,16,6,,0,0,2019,Dynamo Moscow,,
2019-09-28,16:30,Premier League,Matchweek 11,Sat,Away,L,0,3,Rostov,52.0,29990.0,Toni Šunjić,4-4-1-1,4-2-3-1,Evgeny Turbin,Match Report,,13,2,,0,0,2019,Dynamo Moscow,,
2019-10-05,14:00,Premier League,Matchweek 12,Sat,Away,L,0,2,Orenburg,49.0,4062.0,Anton Shunin,4-2-3-1,5-4-1,Pavel Kukuyan,Match Report,,12,4,,0,0,2019,Dynamo Moscow,,
2019-10-20,19:00,Premier League,Matchweek 13,Sun,Home,D,1,1,Krasnodar,34.0,15374.0,Anton Shunin,5-4-1,4-4-1-1,Mikhail Vilkov,Match Report,,16,2,,0,0,2019,Dynamo Moscow,,
2019-10-27,16:30,Premier League,Matchweek 14,Sun,Away,W,1,0,CSKA Moscow,46.0,20019.0,Anton Shunin,5-4-1,3-4-1-2,Sergey Karasev,Match Report,,8,4,,0,0,2019,Dynamo Moscow,,
2019-11-02,14:00,Premier League,Matchweek 15,Sat,Home,D,1,1,Akhmat Grozny,49.0,10092.0,Anton Shunin,3-4-3,4-2-3-1,Sergey Lapochkin,Match Report,,5,2,,0,1,2019,Dynamo Moscow,,
2019-11-09,14:00,Premier League,Matchweek 16,Sat,Away,W,1,0,Rubin Kazan,43.0,4757.0,Anton Shunin,4-4-1-1,4-1-4-1,Evgeny Turbin,Match Report,,11,6,,0,0,2019,Dynamo Moscow,,
2019-11-23,16:30,Premier League,Matchweek 17,Sat,Home,W,2,1,Rostov,53.0,11569.0,Anton Shunin,4-4-1-1,4-3-3,Vasiliy Kazartsev,Match Report,,12,3,,2,2,2019,Dynamo Moscow,,
2019-12-01,16:30,Premier League,Matchweek 18,Sun,Away,W,2,1,Loko Moscow,42.0,17739.0,Anton Shunin,4-2-3-1,4-3-2-1,Sergey Karasev,Match Report,,12,7,,1,1,2019,Dynamo Moscow,,
2019-12-06,19:30,Premier League,Matchweek 19,Fri,Away,L,0,3,Zenit,38.0,48367.0,Anton Shunin,4-2-3-1,4-4-2,Nikolay Voloshin,Match Report,,10,2,,0,0,2019,Dynamo Moscow,,
2020-02-29,16:30,Premier League,Matchweek 20,Sat,Home,L,0,2,Spartak Moscow,52.0,24946.0,Anton Shunin,3-4-3,3-4-1-2,Sergey Karasev,Match Report,,9,1,,0,0,2019,Dynamo Moscow,,
2020-03-07,16:30,Premier League,Matchweek 21,Sat,Home,W,1,0,Tambov,60.0,10143.0,Anton Shunin,4-2-3-1,5-4-1,Vasiliy Kazartsev,Match Report,,10,3,,0,0,2019,Dynamo Moscow,,
2020-03-13,19:30,Premier League,Matchweek 22,Fri,Away,W,3,2,Akhmat Grozny,45.0,13232.0,Anton Shunin,4-2-3-1,4-2-3-1,Vitaly Meshkov,Match Report,,12,5,,1,1,2019,Dynamo Moscow,,
2020-06-27,19:00,Premier League,Matchweek 24,Sat,Home,D,0,0,CSKA Moscow,53.0,2432.0,Anton Shunin,4-2-3-1,3-4-3,Kirill Levnikov,Match Report,,11,1,,0,0,2019,Dynamo Moscow,,
2020-07-01,21:00 (20:00),Premier League,Matchweek 25,Wed,Away,D,1,1,Sochi,50.0,3701.0,Anton Shunin,4-2-3-1,3-4-3,Igor Panin,Match Report,,17,6,,1,1,2019,Dynamo Moscow,,
2020-07-04,16:30,Premier League,Matchweek 26,Sat,Home,L,0,1,Arsenal Tula,70.0,2254.0,Anton Shunin,4-2-3-1,4-2-3-1,Vladislav Bezborodov,Match Report,,24,9,,0,0,2019,Dynamo Moscow,,
2020-07-09,19:00 (17:00),Premier League,Matchweek 27,Thu,Away,L,1,2,Ural,52.0,,Anton Shunin,4-2-3-1,4-2-3-1,Vladimir Moskalev,Match Report,,14,4,,0,0,2019,Dynamo Moscow,,
2020-07-12,18:30,Premier League,Matchweek 28,Sun,Home,W,2,0,Samara,,,Anton Shunin,4-2-3-1,4-2-3-1,Sergey Karasev,Match Report,,2,2,,2,2,2019,Dynamo Moscow,,
2020-07-16,20:00 (18:00),Premier League,Matchweek 29,Thu,Away,W,1,0,Ufa,53.0,1497.0,Anton Shunin,4-2-3-1,5-3-2,Pavel Kukuyan,Match Report,,14,4,,1,1,2019,Dynamo Moscow,,
2020-07-19,20:30,Premier League,Matchweek 23,Sun,Away,W,2,0,Krasnodar,35.0,3518.0,Vladimir Rykov,5-3-2,4-2-3-1,Mikhail Vilkov,Match Report,,14,7,,0,0,2019,Dynamo Moscow,,
2020-07-22,19:00,Premier League,Matchweek 30,Wed,Home,L,0,1,Orenburg,58.0,2445.0,Anton Shunin,4-1-4-1,5-4-1,Sergey Lapochkin,Match Report,,27,4,,0,0,2019,Dynamo Moscow,,
2019-07-13,19:00,Premier League,Matchweek 1,Sat,Home,W,1,0,Sochi,61.0,29892.0,Georgi Dzhikiya,4-2-3-1,4-1-4-1,Vladimir Moskalev,Match Report,,13.0,5.0,,0,0,2019,Spartak Moscow,,
2019-07-20,21:30,Premier League,Matchweek 2,Sat,Away,D,2,2,Rostov,52.0,35865.0,Georgi Dzhikiya,4-2-3-1,4-2-3-1,Kirill Levnikov,Match Report,,15.0,5.0,,1,1,2019,Spartak Moscow,,
2019-07-27,16:30,Premier League,Matchweek 3,Sat,Away,L,0,2,Tambov,66.0,23238.0,Georgi Dzhikiya,4-2-3-1,4-1-4-1,Mikhail Vilkov,Match Report,,23.0,4.0,,0,0,2019,Spartak Moscow,,
2019-08-03,19:00,Premier League,Matchweek 4,Sat,Home,D,0,0,Dynamo Mosc,33.0,34389.0,Georgi Dzhikiya,4-2-3-1,4-2-3-1,Vladislav Bezborodov,Match Report,,12.0,3.0,,0,0,2019,Spartak Moscow,,
2019-08-11,21:30,Premier League,Matchweek 5,Sun,Away,W,3,1,Akhmat Grozny,55.0,17832.0,Georgi Dzhikiya,4-2-3-1,5-4-1,Aleksey Sukhoy,Match Report,,12.0,7.0,,0,0,2019,Spartak Moscow,,
2019-08-19,20:00,Premier League,Matchweek 6,Mon,Home,W,2,1,CSKA Moscow,46.0,44434.0,Georgi Dzhikiya,4-2-3-1,3-4-3,Sergey Karasev,Match Report,,21.0,8.0,,0,0,2019,Spartak Moscow,,
2019-08-25,20:00 (19:00),Premier League,Matchweek 7,Sun,Away,W,2,1,Samara,64.0,32286.0,Georgi Dzhikiya,4-2-3-1,4-2-3-1,Sergey Lapochkin,Match Report,,28.0,9.0,,0,0,2019,Spartak Moscow,,
2019-09-01,19:00,Premier League,Matchweek 8,Sun,Home,L,0,1,Zenit,58.0,43382.0,Georgi Dzhikiya,4-2-3-1,4-4-2,Vitaly Meshkov,Match Report,,20.0,3.0,,0,0,2019,Spartak Moscow,,
2019-09-14,16:30,Premier League,Matchweek 9,Sat,Home,L,1,2,Ural,63.0,24198.0,Georgi Dzhikiya,4-2-3-1,4-4-2,Sergey Ivanov,Match Report,,11.0,3.0,,0,0,2019,Spartak Moscow,,
2019-09-20,19:30 (17:30),Premier League,Matchweek 10,Fri,Away,L,0,1,Ufa,67.0,10809.0,Roman Zobnin,4-2-3-1,5-3-2,Aleksey Sukhoy,Match Report,,15.0,5.0,,0,0,2019,Spartak Moscow,,
2019-09-29,16:30,Premier League,Matchweek 11,Sun,Home,L,1,2,Orenburg,64.0,20817.0,Roman Zobnin,4-2-3-1,4-2-3-1,Stanislav Vasilyev,Match Report,,24.0,8.0,,0,0,2019,Spartak Moscow,,
2019-10-06,19:00,Premier League,Matchweek 12,Sun,Away,L,1,2,Krasnodar,52.0,32238.0,Georgi Dzhikiya,4-2-3-1,4-4-2,Vitaly Meshkov,Match Report,,10.0,3.0,,0,0,2019,Spartak Moscow,,
2019-10-19,16:30,Premier League,Matchweek 13,Sat,Home,D,0,0,Rubin Kazan,45.0,26844.0,Samuel Gigot,4-3-3,4-1-4-1,Sergey Lapochkin,Match Report,,23.0,7.0,,0,0,2019,Spartak Moscow,,
2019-10-27,16:30,Premier League,Matchweek 14,Sun,Away,W,3,0,Loko Moscow,42.0,22863.0,Georgi Dzhikiya,4-3-3,5-3-2,Aleksey Eskov,Match Report,,12.0,4.0,,0,0,2019,Spartak Moscow,,
2019-11-04,19:00,Premier League,Matchweek 15,Mon,Home,L,0,1,Arsenal Tula,66.0,19310.0,Georgi Dzhikiya,4-2-3-1,5-4-1,Aleksey Sukhoy,Match Report,,18.0,4.0,,0,0,2019,Spartak Moscow,,
2019-11-09,19:00,Premier League,Matchweek 16,Sat,Home,W,2,0,Samara,50.0,18719.0,Georgi Dzhikiya,5-3-2,5-4-1,Vitaly Meshkov,Match Report,,18.0,5.0,,1,1,2019,Spartak Moscow,,
2019-11-24,16:00 (14:00),Premier League,Matchweek 17,Sun,Away,D,0,0,Ural,58.0,14637.0,Georgi Dzhikiya,3-4-1-2,4-2-3-1,Nikolay Voloshin,Match Report,,21.0,6.0,,0,0,2019,Spartak Moscow,,
2019-12-01,19:00,Premier League,Matchweek 18,Sun,Away,L,0,1,Zenit,53.0,55119.0,Georgi Dzhikiya,3-4-1-2,4-4-2,Vitaly Meshkov,Match Report,,15.0,3.0,,0,0,2019,Spartak Moscow,,
2019-12-08,19:00,Premier League,Matchweek 19,Sun,Home,L,1,4,Rostov,61.0,22132.0,Georgi Dzhikiya,4-2-3-1,4-2-3-1,Evgeny Turbin,Match Report,,24.0,8.0,,0,0,2019,Spartak Moscow,,
2020-02-29,16:30,Premier League,Matchweek 20,Sat,Away,W,2,0,Dynamo Mosc,49.0,24946.0,Georgi Dzhikiya,3-4-1-2,3-4-3,Sergey Karasev,Match Report,,11.0,4.0,,0,0,2019,Spartak Moscow,,
2020-03-09,16:30,Premier League,Matchweek 21,Mon,Home,L,0,1,Krasnodar,35.0,28245.0,Georgi Dzhikiya,3-5-2,4-2-3-1,Sergey Lapochkin,Match Report,,14.0,4.0,,0,0,2019,Spartak Moscow,,
2020-03-14,16:00 (14:00),Premier League,Matchweek 22,Sat,Away,W,3,1,Orenburg,49.0,4935.0,Georgi Dzhikiya,3-1-4-2,4-1-4-1,Vasiliy Kazartsev,Match Report,,12.0,7.0,,0,0,2019,Spartak Moscow,,
2020-06-20,16:30,Premier League,Matchweek 23,Sat,Away,W,3,2,Arsenal Tula,43.0,1896.0,Georgi Dzhikiya,3-1-4-2,3-4-3,Evgeny Turbin,Match Report,,15.0,6.0,,0,0,2019,Spartak Moscow,,
2020-06-27,16:30,Premier League,Matchweek 24,Sat,Home,D,0,0,Ufa,57.0,4179.0,Roman Zobnin,3-1-4-2,5-3-2,Vladislav Bezborodov,Match Report,,13.0,2.0,,0,0,2019,Spartak Moscow,,
2020-06-30,20:30,Premier League,Matchweek 25,Tue,Away,L,0,2,CSKA Moscow,50.0,,Georgi Dzhikiya,3-1-4-2,3-4-3,Aleksey Eskov,Match Report,,13.0,2.0,,0,0,2019,Spartak Moscow,,
2020-07-04,18:30,Premier League,Matchweek 26,Sat,Home,L,2,3,Tambov,55.0,4163.0,Georgi Dzhikiya,3-1-4-2,3-4-3,Vladimir Moskalev,Match Report,,17.0,8.0,,1,1,2019,Spartak Moscow,,
2020-07-08,20:30,Premier League,Matchweek 27,Wed,Home,D,1,1,Loko Moscow,44.0,3754.0,Georgi Dzhikiya,3-1-4-2,4-2-3-1,Sergey Lapochkin,Match Report,,11.0,5.0,,0,0,2019,Spartak Moscow,,
2020-07-11,21:30 (20:30),Premier League,Matchweek 28,Sat,Away,L,0,1,Sochi,68.0,,Georgi Dzhikiya,3-1-4-2,3-4-3,Sergey Ivanov,Match Report,,15.0,3.0,,0,0,2019,Spartak Moscow,,
2020-07-15,18:00,Premier League,Matchweek 29,Wed,Home,W,3,0,Akhmat Grozny,52.0,3100.0,Georgi Dzhikiya,3-1-4-2,4-2-3-1,Aleksey Sukhoy,Match Report,,16.0,4.0,,0,0,2019,Spartak Moscow,,
2020-07-22,19:00,Premier League,Matchweek 30,Wed,Away,W,2,1,Rubin Kazan,51.0,4226.0,Georgi Dzhikiya,3-1-4-2,4-2-3-1,Pavel Kukuyan,Match Report,,9.0,3.0,,2,2,2019,Spartak Moscow,,
2019-07-12,20:00,Premier League,Matchweek 1,Fri,Home,D,1,1,Dynamo Mosc,53.0,14742.0,Kirill Kombarov,4-3-3,4-2-3-1,Sergey Lapochkin,Match Report,,18.0,2.0,,0,0,2019,Arsenal Tula,,
2019-07-20,17:30 (16:30),Premier League,Matchweek 2,Sat,Away,W,3,2,Samara,54.0,15780.0,Kirill Kombarov,4-2-3-1,4-2-3-1,Pavel Kukuyan,Match Report,,19.0,7.0,,0,0,2019,Arsenal Tula,,
2019-07-28,16:30,Premier League,Matchweek 3,Sun,Home,L,2,3,Rostov,50.0,9654.0,Anri Khagush,4-2-3-1,4-2-3-1,Aleksey Matyunin,Match Report,,18.0,6.0,,0,0,2019,Arsenal Tula,,
2019-08-04,16:30,Premier League,Matchweek 4,Sun,Away,W,1,0,Tambov,51.0,4332.0,Kirill Kombarov,4-2-3-1,4-2-3-1,Sergey Ivanov,Match Report,,7.0,2.0,,0,0,2019,Arsenal Tula,,
2019-08-11,14:00,Premier League,Matchweek 5,Sun,Home,W,1,0,Ufa,55.0,11340.0,Kirill Kombarov,4-2-3-1,5-3-2,Mikhail Vilkov,Match Report,,18.0,4.0,,0,0,2019,Arsenal Tula,,
2019-08-18,14:00,Premier League,Matchweek 6,Sun,Away,L,0,1,Rubin Kazan,44.0,10022.0,Kirill Kombarov,4-3-3,4-1-4-1,Vladislav Bezborodov,Match Report,,12.0,3.0,,0,0,2019,Arsenal Tula,,
2019-08-25,21:30,Premier League,Matchweek 7,Sun,Home,W,2,1,Orenburg,55.0,8347.0,Kirill Kombarov,4-3-3,4-3-3,Aleksey Sukhoy,Match Report,,12.0,6.0,,0,0,2019,Arsenal Tula,,
2019-09-01,20:30 (16:30),Premier League,Matchweek 8,Sun,Home,L,1,2,CSKA Moscow,50.0,18758.0,Kirill Kombarov,4-3-3,3-1-4-2,Evgeny Turbin,Match Report,,13.0,4.0,,0,0,2019,Arsenal Tula,,
2019-09-13,20:00,Premier League,Matchweek 9,Fri,Away,L,1,3,Zenit,37.0,42431.0,Kantemir Berkhamov,4-3-3,4-4-2,Pavel Kukuyan,Match Report,,10.0,4.0,,0,0,2019,Arsenal Tula,,
2019-09-22,16:30,Premier League,Matchweek 10,Sun,Home,D,1,1,Ural,54.0,7256.0,Kirill Kombarov,4-3-3,4-4-2,Vitaly Meshkov,Match Report,,19.0,5.0,,0,0,2019,Arsenal Tula,,
2019-09-29,19:00,Premier League,Matchweek 11,Sun,Away,L,0,2,Krasnodar,43.0,23516.0,Gia Grigalava,4-3-3,4-1-3-2,Vasiliy Kazartsev,Match Report,,19.0,4.0,,0,0,2019,Arsenal Tula,,
2019-10-06,14:00,Premier League,Matchweek 12,Sun,Away,L,1,2,Loko Moscow,51.0,11204.0,Gia Grigalava,4-3-3,4-4-2,Sergey Lapochkin,Match Report,,7.0,2.0,,0,0,2019,Arsenal Tula,,
2019-10-20,16:30,Premier League,Matchweek 13,Sun,Home,D,1,1,Sochi,64.0,11475.0,Kirill Kombarov,4-3-3,4-1-4-1,Vitaly Meshkov,Match Report,,23.0,7.0,,1,1,2019,Arsenal Tula,,
2019-10-26,16:30,Premier League,Matchweek 14,Sat,Away,D,1,1,Akhmat Grozny,57.0,11265.0,Kirill Kombarov,4-1-4-1,4-2-3-1,Nikolay Voloshin,Match Report,,14.0,2.0,,0,0,2019,Arsenal Tula,,
2019-11-04,19:00,Premier League,Matchweek 15,Mon,Away,W,1,0,Spartak Moscow,34.0,19310.0,Kirill Kombarov,5-4-1,4-2-3-1,Aleksey Sukhoy,Match Report,,5.0,2.0,,0,0,2019,Arsenal Tula,,
2019-11-10,18:00 (14:00),Premier League,Matchweek 16,Sun,Home,L,0,1,Zenit,52.0,16095.0,Gia Grigalava,4-3-3,4-4-2,Aleksey Eskov,Match Report,,14.0,4.0,,0,0,2019,Arsenal Tula,,
2019-11-24,20:30 (16:30),Premier League,Matchweek 17,Sun,Home,L,1,2,Krasnodar,51.0,7815.0,Gia Grigalava,3-4-3,4-4-2,Stanislav Vasilyev,Match Report,,18.0,5.0,,0,0,2019,Arsenal Tula,,
2019-12-02,19:30,Premier League,Matchweek 18,Mon,Away,W,1,0,CSKA Moscow,41.0,8112.0,Kirill Kombarov,3-4-3,3-4-3,Nikolay Voloshin,Match Report,,10.0,3.0,,0,0,2019,Arsenal Tula,,
2019-12-06,23:30 (19:30),Premier League,Matchweek 19,Fri,Home,W,4,0,Loko Moscow,44.0,10284.0,Kirill Kombarov,5-4-1,3-4-3,Sergey Ivanov,Match Report,,13.0,8.0,,0,0,2019,Arsenal Tula,,
2020-03-01,19:00,Premier League,Matchweek 20,Sun,Away,W,2,1,Sochi,50.0,5720.0,Kirill Kombarov,3-4-3,3-4-3,Vladislav Bezborodov,Match Report,,5.0,2.0,,0,0,2019,Arsenal Tula,,
2020-03-07,16:00 (14:00),Premier League,Matchweek 21,Sat,Away,L,0,2,Orenburg,61.0,2457.0,Kirill Kombarov,3-4-3,5-4-1,Pavel Kukuyan,Match Report,,12.0,2.0,,0,0,2019,Arsenal Tula,,
2020-03-14,23:00 (19:00),Premier League,Matchweek 22,Sat,Home,L,0,1,Rubin Kazan,56.0,8831.0,Gia Grigalava,3-4-3,4-2-3-1,Sergey Lapochkin,Match Report,,15.0,6.0,,0,0,2019,Arsenal Tula,,
2020-06-20,16:30,Premier League,Matchweek 23,Sat,Home,L,2,3,Spartak Moscow,57.0,1896.0,Igor Gorbatenko,3-4-3,3-1-4-2,Evgeny Turbin,Match Report,,22.0,6.0,,0,1,2019,Arsenal Tula,,
2020-06-27,20:00,Premier League,Matchweek 24,Sat,Away,L,1,2,Rostov,57.0,4505.0,Anri Khagush,4-2-3-1,4-2-3-1,Vladimir Moskalev,Match Report,,15.0,3.0,,0,0,2019,Arsenal Tula,,
2020-07-01,17:30,Premier League,Matchweek 25,Wed,Home,L,1,3,Akhmat Grozny,,,Anri Khagush,4-2-3-1,4-3-3,Vasiliy Kazartsev,Match Report,,0.0,0.0,,0,0,2019,Arsenal Tula,,
